"","source","intervention","date","domestic","group"
"232","India Abroad","pre",1998-05-29,"International","Indian Americans"
"233","India Abroad","pre",1997-12-12,"International","Indian Americans"
"234","India Abroad","pre",1996-12-06,"International","Indian Americans"
"235","India Abroad","pre",1999-12-24,"Domestic","Indian Americans"
"236","India Abroad","pre",1997-08-08,"International","Indian Americans"
"237","India Abroad","pre",1999-02-12,"International","Indian Americans"
"238","India Abroad","pre",1999-10-15,"International","Indian Americans"
"239","India Abroad","pre",1997-09-05,"International","Indian Americans"
"240","India Abroad","pre",2001-01-12,"International","Indian Americans"
"241","The Arab American News","pre",1997-08-29,"Domestic","Arab Americans"
"242","The Arab American News","pre",2000-01-21,"Domestic","Arab Americans"
"243","The Arab American News","pre",2001-08-31,"Domestic","Arab Americans"
"244","The Arab American News","pre",1998-06-19,"International","Arab Americans"
"245","The Arab American News","pre",1997-08-08,"International","Arab Americans"
"246","The Arab American News","pre",2000-08-25,"International","Arab Americans"
"247","The Arab American News","pre",2000-05-12,"Domestic","Arab Americans"
"248","The Arab American News","pre",1999-05-28,"Domestic","Arab Americans"
"249","The Arab American News","pre",2000-05-26,"Domestic","Arab Americans"
"250","The Arab American News","pre",1998-03-20,"International","Arab Americans"
"251","The Arab American News","pre",1999-11-12,"International","Arab Americans"
"252","The Arab American News","pre",2000-07-21,"Domestic","Arab Americans"
"253","The Arab American News","pre",1997-06-13,"International","Arab Americans"
"254","The Arab American News","pre",2001-03-30,"Domestic","Arab Americans"
"255","The Arab American News","pre",1998-09-11,"Domestic","Arab Americans"
"256","The Arab American News","pre",1997-05-02,"International","Arab Americans"
"257","The Arab American News","pre",2000-07-14,"International","Arab Americans"
"258","The Arab American News","pre",1998-04-24,"International","Arab Americans"
"259","The Arab American News","pre",1998-09-18,"Domestic","Arab Americans"
"260","The Arab American News","pre",1999-12-17,"International","Arab Americans"
"261","The Arab American News","pre",1998-06-19,"International","Arab Americans"
"262","The Arab American News","pre",1997-02-28,"Domestic","Arab Americans"
"263","The Arab American News","pre",1999-12-17,"Domestic","Arab Americans"
"264","The Arab American News","pre",2000-07-14,"Domestic","Arab Americans"
"265","The Arab American News","pre",1997-03-07,"Domestic","Arab Americans"
"266","The Arab American News","pre",2000-07-28,"Domestic","Arab Americans"
"267","The Arab American News","pre",1998-10-30,"Domestic","Arab Americans"
"268","The Arab American News","pre",1998-09-11,"International","Arab Americans"
"269","The Arab American News","pre",2001-07-20,"International","Arab Americans"
"270","The Arab American News","pre",1998-01-02,"International","Arab Americans"
"271","The Arab American News","pre",1999-08-20,"International","Arab Americans"
"272","The Arab American News","pre",1999-06-11,"Domestic","Arab Americans"
"273","The Arab American News","pre",2000-04-14,"International","Arab Americans"
"274","The Arab American News","pre",2001-09-07,"International","Arab Americans"
"275","The Arab American News","pre",1998-04-03,"Domestic","Arab Americans"
"276","The Arab American News","pre",1997-02-07,"Domestic","Arab Americans"
"277","The Arab American News","pre",1998-02-06,"Domestic","Arab Americans"
"278","The Arab American News","pre",1996-11-01,"Domestic","Arab Americans"
"279","The Arab American News","pre",1998-02-06,"International","Arab Americans"
"280","The Arab American News","pre",2001-08-31,"Domestic","Arab Americans"
"281","The Arab American News","pre",1998-04-24,"Domestic","Arab Americans"
"282","The Arab American News","pre",1998-09-11,"International","Arab Americans"
"283","The Arab American News","pre",2001-06-08,"International","Arab Americans"
"284","The Arab American News","pre",1998-10-09,"Domestic","Arab Americans"
"285","The Arab American News","pre",1996-11-29,"International","Arab Americans"
"286","The Arab American News","pre",2001-06-08,"Domestic","Arab Americans"
"287","The Arab American News","pre",1998-04-24,"International","Arab Americans"
"288","The Arab American News","pre",1998-04-03,"International","Arab Americans"
"289","The Arab American News","pre",1996-10-18,"International","Arab Americans"
"290","The Arab American News","pre",2000-09-22,"International","Arab Americans"
"291","The Arab American News","pre",1996-10-11,"International","Arab Americans"
"292","The Arab American News","pre",2001-06-08,"Domestic","Arab Americans"
"293","The Arab American News","pre",1999-10-15,"International","Arab Americans"
"294","The Arab American News","pre",2000-08-11,"International","Arab Americans"
"295","The Arab American News","pre",1998-12-25,"International","Arab Americans"
"296","The Arab American News","pre",1999-08-13,"Domestic","Arab Americans"
"297","The Arab American News","pre",1996-12-27,"International","Arab Americans"
"298","The Arab American News","pre",2001-03-23,"Domestic","Arab Americans"
"299","The Arab American News","pre",1998-04-24,"Domestic","Arab Americans"
"300","The Arab American News","pre",1998-06-19,"International","Arab Americans"
"301","The Arab American News","pre",1999-05-14,"International","Arab Americans"
"302","The Arab American News","pre",2001-06-29,"Domestic","Arab Americans"
"303","The Arab American News","pre",1999-04-02,"International","Arab Americans"
"304","The Arab American News","pre",1999-11-26,"International","Arab Americans"
"305","The Arab American News","pre",2000-07-28,"International","Arab Americans"
"306","The Arab American News","pre",1998-09-25,"Domestic","Arab Americans"
"307","The Arab American News","pre",1999-06-25,"Domestic","Arab Americans"
"308","The Arab American News","pre",2001-03-16,"Domestic","Arab Americans"
"309","The Arab American News","pre",2001-03-02,"Domestic","Arab Americans"
"310","The Arab American News","pre",1998-06-26,"Domestic","Arab Americans"
"311","The Arab American News","pre",1998-05-08,"Domestic","Arab Americans"
"312","The Arab American News","pre",1999-11-12,"Domestic","Arab Americans"
"313","The Arab American News","pre",1998-10-30,"Domestic","Arab Americans"
"314","The Arab American News","pre",1999-08-13,"Domestic","Arab Americans"
"315","The Arab American News","pre",1999-11-19,"Domestic","Arab Americans"
"316","The Arab American News","pre",1998-01-30,"Domestic","Arab Americans"
"317","The Arab American News","pre",2001-07-06,"Domestic","Arab Americans"
"318","The Arab American News","pre",1997-12-19,"Domestic","Arab Americans"
"319","The Arab American News","pre",2000-06-30,"Domestic","Arab Americans"
"320","The Arab American News","pre",2001-08-03,"International","Arab Americans"
"321","The Arab American News","pre",1999-12-03,"International","Arab Americans"
"322","The Arab American News","pre",1997-04-04,"International","Arab Americans"
"323","The Arab American News","pre",2000-07-14,"Domestic","Arab Americans"
"324","The Arab American News","pre",1997-10-17,"International","Arab Americans"
"325","The Arab American News","pre",1997-11-28,"International","Arab Americans"
"326","The Arab American News","pre",2000-02-25,"Domestic","Arab Americans"
"327","The Arab American News","pre",1998-07-03,"International","Arab Americans"
